app,teks,rating,sentimen,teks_bersih
com.shopee.id,rusuhhh bet iklan iklan muluk heran,1,Negatif,rusuhhh bet iklan iklan muluk heran
com.shopee.id,mantabs nih shopee keren abis,5,Positif,mantabs nih shopee keren abis
com.shopee.id,"annoying ads, terlalu maksa buat dibuka, bikin iklan ngotak dikit, button close aja sengaja dibuat lebih kecil dari lubang jarum jahit, salah klik malah kebuka link produk itulah inilah, ts so fckg annoyin",1,Negatif,annoying ads terlalu maksa buat dibuka bikin iklan ngotak dikit button close aja sengaja dibuat lebih kecil dari lubang jarum jahit salah klik malah kebuka link produk itulah inilah ts so fckg annoyin
com.shopee.id,aplikasi ini berguna bagat 😍😍😍,5,Netral,aplikasi ini berguna bagat
com.shopee.id,cara berhenti Spaylater gimana min?... soal e buat beli paket data sama pulsa ga bisa percuma.... mau hapus aja,1,Netral,cara berhenti spaylater gimana min soal e buat beli paket data sama pulsa tidak bisa percuma mau hapus aja
com.shopee.id,ngg pernah dapet shopee pinjam,2,Netral,ngg pernah dapet shopee pinjam
com.shopee.id,sangat membantu.,5,Positif,sangat membantu
com.shopee.id,Shopee 👍👍,5,Netral,shopee
com.shopee.id,"bintang 1, kebanyakan iklan, kalau iklan masuk web si gpp, ini langsung aplikasi, kecewa bet dah",1,Negatif,bintang kebanyakan iklan kalau iklan masuk web si gpp ini langsung aplikasi kecewa bet dah
com.shopee.id,ok,5,Netral,ok
com.shopee.id,"spaylater saya masih dibatasi,,padahal udah lunas semua tagihannya",1,Netral,spaylater saya masih dibatasi padahal sudah lunas semua tagihannya
com.shopee.id,. b .m. v. v om. k n kn ya..m MB Bu,5,Netral,b m v v om k n kn ya m mb bu
com.shopee.id,good,5,Netral,good
com.shopee.id,aplikasi bagus ongkir ya tid ak terlalu mahal,5,Netral,aplikasi bagus ongkir ya tid ak terlalu mahal
com.shopee.id,"saya benci sama aplikasi shopee, mau kasih diskon yg niat, gw belanja cod jadi ribet, diskon 5% 4.250, harus di bulan kan aja , 4 ribu atau 5 ribu, aku bisa bayar uang pass, aku malah melebihi, harga jadi harga 83.250, harus bayar 83.500, uang 250 rupiah gak ada, terus aku gak ikhlas alasannya itu 250 Rupiah itu juga duit, paket ada 1000, kasih lebih segitu juga jadi 250 ribu, itu bisa jadi korupsi uanglo, , harus sistem cod uang di bulat kan aja, saran dari aku, tolong di baca.",1,Netral,saya benci sama aplikasi shopee mau kasih diskon yang niat gw belanja cod jadi ribet diskon harus di bulan kan aja ribu atau ribu aku bisa bayar uang pass aku malah melebihi harga jadi harga harus bayar uang rupiah tidak ada terus aku tidak ikhlas alasannya itu rupiah itu juga duit paket ada kasih lebih segitu juga jadi ribu itu bisa jadi korupsi uanglo harus sistem cod uang di bulat kan aja saran dari aku tolong di baca
com.shopee.id,Setiap pesanan Real pic dan Sesuai pokonya mantap di Shopee,5,Positif,setiap pesanan real pic dan sesuai pokonya mantap di shopee
com.shopee.id,Knp kalau mau chekout shopy tidak menanggapi,3,Netral,knp kalau mau chekout shopy tidak menanggapi
com.shopee.id,"3x pemesanan paket terakhir ini telat entimasi terus bahkan ada yang gadateng ,udah chat sama customer service nya masih aja gada berubah 3x pengajuan percepat paket Dateng juga gada perubahan ,kalau gini terus bikin bete aja ,nungguin lama banget sedangkan barang mau dipake,tolong kerjasamanya",2,Netral,x pemesanan paket terakhir ini telat entimasi terus bahkan ada yang gadateng sudah chat sama customer service nya masih aja gada berubah x pengajuan percepat paket dateng juga gada perubahan kalau gini terus bikin bete aja nungguin lama banget sedangkan barang mau dipake tolong kerjasamanya
com.shopee.id,belanja di shopee sekarang banyak kendala pengiriman lama kadang paket saya sudah dua kali di batalkan shope makin payah sekarang shope banyak pelangan malah jadi macet pelayanan lemot,5,Netral,belanja di shopee sekarang banyak kendala pengiriman lama kadang paket saya sudah dua kali di batalkan shope makin payah sekarang shope banyak pelangan malah jadi macet pelayanan lemot
com.shopee.id,"Selalu Belanja kesini dan banyak promonya, dan juga kurirnya juga ramah. 👍",5,Netral,selalu belanja kesini dan banyak promonya dan juga kurirnya juga ramah
com.shopee.id,Aplikasi Nya Bagus Gak Tau Kenapa?,5,Positif,aplikasi nya bagus tidak tau kenapa
com.shopee.id,"terima kasih untuk driver ku semoga sehat selalu ,atas pengantaran pesanan sy mendarat dengan aman",5,Netral,terima kasih untuk driver ku semoga sehat selalu atas pengantaran pesanan saya mendarat dengan aman
com.shopee.id,oke jugak,5,Netral,oke jugak
com.shopee.id,"spinjam bunga nya gede bgt , pinjem 5jt bayar nya 8jt lebih buset tolong donk ringankan hampir stress gua",1,Netral,spinjam bunga nya gede banget pinjem jt bayar nya jt lebih buset tolong donk ringankan hampir stress gua
com.shopee.id,aplikasih yang sangat membantu baik,5,Positif,aplikasih yang sangat membantu baik
com.shopee.id,apk belanja online mudah dan kwalitas produk tidak mengecewakan,5,Positif,aplikasi belanja online mudah dan kwalitas produk tidak mengecewakan
com.shopee.id,pesenan ga pernah dateng,1,Netral,pesenan tidak pernah dateng
com.shopee.id,"Aplikasi sangath membantuu, banyak Pilihan, aman, dn terpercaya",5,Netral,aplikasi sangath membantuu banyak pilihan aman dn terpercaya
com.shopee.id,"Aplikasi nya berguna banget! Murah² .Bagus untuk mencari Sesuatu ,dapat mengetahui barang ² yg belum kita ketahui And Lengkappp👍👍",5,Positif,aplikasi nya berguna banget murah bagus untuk mencari sesuatu dapat mengetahui barang yang belum kita ketahui and lengkappp
com.shopee.id,baguss ong kadang murah,5,Positif,bagus ong kadang murah
com.shopee.id,ok punyaaaa!!!,5,Netral,ok punyaaaa
com.shopee.id,sangat bagus dan membantu,5,Positif,sangat bagus dan membantu
com.shopee.id,pengiriman cepat.. belanja murah barang berkualitas,5,Positif,pengiriman cepat belanja murah barang berkualitas
com.shopee.id,baru saja saya kena penipuan scammer yang meng atas nama kan shopee dan mengakibatkan kerugian hilangnya uang sebesar mendekati angka 2 juta rupiah di saldo Shopee pay saya. pengguna Shopee di mohon lebih berhati hati jika ada telepon melalui media whatsapp meng atas nama kan dari pihak Shopee. jangan tanggapi jika ada chat masuk di aplikasi Shopee bertujuan bahwa akun kita akan di blokir karena kita melakukan pelanggaran dalam bertransaksi di aplikasi Shopee. berawal dari situ saya jadi korban.,1,Netral,baru saja saya kena penipuan scammer yang meng atas nama kan shopee dan mengakibatkan kerugian hilangnya uang sebesar mendekati angka juta rupiah di saldo shopee pay saya pengguna shopee di mohon lebih berhati hati jika ada telepon melalui media whatsapp meng atas nama kan dari pihak shopee jangan tanggapi jika ada chat masuk di aplikasi shopee bertujuan bahwa akun kita akan di blokir karena kita melakukan pelanggaran dalam bertransaksi di aplikasi shopee berawal dari situ saya jadi korban
com.shopee.id,saya senang dengan aplikasi ini,5,Netral,saya senang dengan aplikasi ini
com.shopee.id,aplikasi doang besar tidak pernah ada evaluasi,1,Netral,aplikasi doang besar tidak pernah ada evaluasi
com.shopee.id,bagus terpercaya,5,Positif,bagus terpercaya
com.shopee.id,"App tolol, kesalahan jasa kirim malah kita yang nanggung, dikasih bukti dibilang ngga valid,data udah jelas jelas kesalahan jasa kirim, e commerce tersampah Mending pake yang lain aja",1,Netral,app tolol kesalahan jasa kirim malah kita yang nanggung dikasih bukti dibilang ngga valid data sudah jelas jelas kesalahan jasa kirim e commerce tersampah mending pakai yang lain aja
com.shopee.id,"sukses selalu buat shopee,bagi saya sangat membantu sekali ,selama ini tidak ada masalah.",5,Positif,sukses selalu buat shopee bagi saya sangat membantu sekali selama ini tidak ada masalah
com.shopee.id,"tempat ku belanja online tidak ada aplikasi lain ,,,shopee terbaik prioritas kan pembeli return barang gampang bintang 100 lah 👍🏻👍🏻👍🏻",5,Netral,tempat ku belanja online tidak ada aplikasi lain shopee terbaik prioritas kan pembeli return barang gampang bintang lah
com.shopee.id,"Buat payment shopeefood ke debit kok susah ya pake sms tapi smsnya baru masuk di percobaan ke2-3? Dan payment untuk KAI juga susah, connect akun ke aplikasi KAI tapi dari KAI masih belum ada respon positif yang mana dialihin balik ke shopee, dan shopee ngulang harus pake biometrik buat link ke KAI. Ujung-ujungnya payment gagal karena saling lempar akun biar connect. Mau upload qris buat bayar juga yang muncul dari kamera doang bukan semua storage, alhasil harus pake 2 device",1,Negatif,buat payment shopeefood ke debit kok susah ya pakai sms tapi smsnya baru masuk di percobaan ke dan payment untuk kai juga susah connect akun ke aplikasi kai tapi dari kai masih belum ada respon positif yang mana dialihin balik ke shopee dan shopee ngulang harus pakai biometrik buat link ke kai ujung ujungnya payment gagal karena saling lempar akun biar connect mau upload qris buat bayar juga yang muncul dari kamera doang bukan semua storage alhasil harus pakai device
com.shopee.id,shopee memang sangat mantaapp👍👍,5,Netral,shopee memang sangat mantaapp
com.shopee.id,mantap tu,5,Positif,mantap tu
com.shopee.id,"ini malware atau apa sih, tiba tiba aja muncul",1,Netral,ini malware atau apa sih tiba tiba aja muncul
com.shopee.id,"to : Devloper. saya harap, untuk prosedur masa garansi tiba kalo bisa 1 TAHUN ya. masak kalah sama TIKTOK & TOKPED. malah kebijakan GTW shopee sekarang tertinggal jauh sama LAZADA. KLO GAK BISA KASIH KEBIJAKAN TENTANG MASA GARANSI WAKTU, MENDING DI HILANGIN AJA TUH POLITIK GARANSI WAKTU BUAT PROMOSI NARIK CUSTOMER. DARI PADA MULUK² PAKE GARANSI WAKTU YANG NGAWUR DAN BANYAK PELANGGAN DI KECEWAKAN, AKHIRNYA MALAH KABUR SEMUA KE OLSHOP APK LAIN BARU NYAHOK LOE.",1,Netral,to devloper saya harap untuk prosedur masa garansi tiba kalo bisa tahun ya masak kalah sama tiktok tokped malah kebijakan gtw shopee sekarang tertinggal jauh sama lazada kalau tidak bisa kasih kebijakan tentang masa garansi waktu mending di hilangin aja tuh politik garansi waktu buat promosi narik customer dari pada muluk pakai garansi waktu yang ngawur dan banyak pelanggan di kecewakan akhirnya malah kabur semua ke olshop aplikasi lain baru nyahok loe
com.shopee.id,"shopee membantu aku yang suka belanja dengan harga murah dan mendapatkan harga² yg ga masuk akal ambyar banget, sering² keluarin vocer yang discon nya lebih besar lagi ya shopee 🥰🙏",5,Positif,shopee membantu aku yang suka belanja dengan harga murah dan mendapatkan harga yang tidak masuk akal ambyar banget sering keluarin vocer yang discon nya lebih besar lagi ya shopee
com.shopee.id,kenapa setelah update shope saya jadi jelek dan susah di buka?,2,Negatif,kenapa setelah update shope saya jadi jelek dan susah di buka
com.shopee.id,bagus,5,Positif,bagus
com.shopee.id,kaos bagus desain bisa costum ...seller ramah& garcep....pokonya gak nyesel pesen di sini..kalo mau bikin kaos samaan bahan jersy disini tempatnya...terbaik🥰,5,Positif,kaos bagus desain bisa costum seller ramah garcep pokonya tidak nyesel pesen di sini kalo mau bikin kaos samaan bahan jersy disini tempatnya terbaik
com.shopee.id,pakai soopee ok,5,Netral,pakai soopee ok
com.shopee.id,sangat baik rekomendasi tempat berbelanja online,5,Positif,sangat baik rekomendasi tempat berbelanja online
com.shopee.id,vocer goib ntaps,1,Netral,vocer goib ntaps
com.shopee.id,"Pokoknya mantap banget lah,oke banget .pengiriman cepat barang sesuai deskripsi...trmksh shopie",5,Positif,pokoknya mantap banget lah oke banget pengiriman cepat barang sesuai deskripsi trmksh shopie
com.shopee.id,bagus banget belanjanya cepat dan tepat,5,Positif,bagus banget belanjanya cepat dan tepat
com.shopee.id,ok mantap belanja....,5,Positif,ok mantap belanja
com.shopee.id,paylater nya tidak pernah di ACC,3,Netral,paylater nya tidak pernah di acc
com.shopee.id,kereenn..,4,Netral,kereenn
com.shopee.id,Iklan lu ganggu,1,Negatif,iklan lu ganggu
com.shopee.id,LU KALO IKLAN PAKE OTAK YA ASW,1,Negatif,lu kalo iklan pakai otak ya asw
com.shopee.id,"Padahal apk shopee ini udah jadi apk fav buat belanja, tapi sayangnya buat pengembalian dana ke pembeli gak selancar apk tiktok yang cepet banget balikin dana kalau pesanan salah. Jadi kalau mau belanja barang2 yang mudah gagal mendingan di tiktok biar jelas pengembalian dananya",5,Positif,padahal aplikasi shopee ini sudah jadi aplikasi fav buat belanja tapi sayangnya buat pengembalian dana ke pembeli tidak selancar aplikasi tiktok yang cepet banget balikin dana kalau pesanan salah jadi kalau mau belanja barang yang mudah gagal mendingan di tiktok biar jelas pengembalian dananya
com.shopee.id,"Alhamdulillah dari 2022 semenjak di curangi oleh pihak shopee sampai sekarang 2026 sudah 4 tahun tidak pernah belanja lagi disini,,,, andai saja saya dulu belanja dari 2022 s/d 2026 mungkin sudah ratusan juta belanja,,,karena kerakusan shopee menipu dan mencurangi hanya 2'5 juta ,,,hilang lah semua ,,,,,sudah tidak percaya lagi",1,Netral,alhamdulillah dari semenjak di curangi oleh pihak shopee sampai sekarang sudah tahun tidak pernah belanja lagi disini andai saja saya dulu belanja dari s d mungkin sudah ratusan juta belanja karena kerakusan shopee menipu dan mencurangi hanya juta hilang lah semua sudah tidak percaya lagi
com.shopee.id,jujurrr endyulll,5,Netral,jujurrr endyulll
com.shopee.id,sangat membantu berikan layanan terbaik dan diskon yang melimpah,5,Positif,sangat membantu berikan layanan terbaik dan diskon yang melimpah
com.shopee.id,puas banget,5,Positif,puas banget
com.shopee.id,"belom masukin pin buat bayar shopeefood tiba² udh di proses kan gk make sense, seharusnya kan kita ketik pin dulu baru di proses, ini belom ketik pin udh di proses aja kan gk jls bgt, mau di batalin juga gk bisa, katanya shopee apk yg paling aman nyata nya gk sama sekali, kapok bgt jadinya klk begini.",1,Netral,belom masukin pin buat bayar shopeefood tiba udh di proses kan gk make sense seharusnya kan kita ketik pin dulu baru di proses ini belom ketik pin udh di proses aja kan gk jls banget mau di batalin juga gk bisa katanya shopee aplikasi yang paling aman nyata nya gk sama sekali kapok banget jadinya klk begini
com.shopee.id,apaan anjir sekarang shopee pelit buat gratis ongkir buat makanan atau barang.,1,Netral,apaan anjir sekarang shopee pelit buat gratis ongkir buat makanan atau barang
com.shopee.id,kalo bisa kurir nya jangan ganti² jadi bingung nyari alamat ku plis ya jangan ganti² bolak balik di kembaliin ke penjual nya gara² ga tau alamat ku,2,Netral,kalo bisa kurir nya jangan ganti jadi bingung nyari alamat ku plis ya jangan ganti bolak balik di kembaliin ke penjual nya gara tidak tau alamat ku
com.shopee.id,belanja lebih semangat,3,Netral,belanja lebih semangat
com.shopee.id,"parah bgt w pesen foot.. w pkir udah d byar pke Shopepay,, malah biaya lg di playlater.. cukup kali ini ja w pesen foot",1,Netral,parah banget w pesen foot w pkir sudah d byar pke shopepay malah biaya lg di playlater cukup kali ini ja w pesen foot
com.shopee.id,tolong perbaiki bagian chat kurir kadang tidak terkirim padahal sinyal bagus,4,Positif,tolong perbaiki bagian chat kurir kadang tidak terkirim padahal sinyal bagus
com.shopee.id,akhir2 ini sangat menyebalkan estimasi kedatangan saat akan beli dan setelah c.o bisa berbeda sangat jauh. ketika paketnya urgent bisa sangat membuat frustasi.,1,Netral,akhir ini sangat menyebalkan estimasi kedatangan saat akan beli dan setelah c o bisa berbeda sangat jauh ketika paketnya urgent bisa sangat membuat frustasi
com.shopee.id,"tolong kasih filter tanggal dari terbaru dan terlama pada ulasan pembelian, untuk mencegah perubahan kualitas barang karena sudah banyak penjualan dan ulasan.",5,Netral,tolong kasih filter tanggal dari terbaru dan terlama pada ulasan pembelian untuk mencegah perubahan kualitas barang karena sudah banyak penjualan dan ulasan
com.shopee.id,potongan shopee untuk reseller kian mencekik. mereka gak ikut bekerja. tetapi ambil bagian banyak banget,1,Netral,potongan shopee untuk reseller kian mencekik mereka tidak ikut bekerja tetapi ambil bagian banyak banget
com.shopee.id,Makasih shopee barang ok sudah sampai sesuai dengan gambar dengan selamat sampai tempat tujuan dengan selamat,5,Netral,makasih shopee barang ok sudah sampai sesuai dengan gambar dengan selamat sampai tempat tujuan dengan selamat
com.shopee.id,bgus aplikasi ni,5,Netral,bgus aplikasi ni
com.shopee.id,"Izin kasih saran, bagian ulasan produk ketika kasih penilaian beserta foto/video produk mohon bisa tersimpan otomatis apabila terjadi aplikasi tidak sengaja keluar atau hp tiba-tiba restart sendiri agar tidak mengisi kembali deskripsi penilaian & foto/video produk. Jika harus mengisi kembali deskripsi penilaian & video/foto produk, rasanya jadi malas yang akhirnya berujung gk kasih penilaian, padahal itu juga dibutuhkan sama pihak penjualnya agar dana bisa dicairkan oleh pihak Shopee. Terimakasi",3,Netral,izin kasih saran bagian ulasan produk ketika kasih penilaian beserta foto video produk mohon bisa tersimpan otomatis apabila terjadi aplikasi tidak sengaja keluar atau hp tiba tiba restart sendiri agar tidak mengisi kembali deskripsi penilaian foto video produk jika harus mengisi kembali deskripsi penilaian video foto produk rasanya jadi malas yang akhirnya berujung gk kasih penilaian padahal itu juga dibutuhkan sama pihak penjualnya agar dana bisa dicairkan oleh pihak shopee terimakasi
com.shopee.id,shopee emang yg terbaik,5,Netral,shopee emang yang terbaik
com.shopee.id,"sangat jelek, untuk pengembalian dananya sangat lambat betuh berhari hari nunggunya..",1,Negatif,sangat jelek untuk pengembalian dananya sangat lambat betuh berhari hari nunggunya
com.shopee.id,aplikasinya sangat berguna,5,Netral,aplikasinya sangat berguna
com.shopee.id,ga guna fitur shopee deals sampah,1,Netral,tidak guna fitur shopee deals sampah
com.shopee.id,udah banyak penipuan di shoppe food tadi ketipu berkedok apk eror,1,Netral,sudah banyak penipuan di shoppe food tadi ketipu berkedok aplikasi eror
com.shopee.id,sangat membatu buat yg mager an ky saya harga jg lebih murah dri pasar.. sukses buat shopee,5,Netral,sangat membatu buat yang mager an ky saya harga juga lebih murah dri pasar sukses buat shopee
com.shopee.id,"-baru pesen. terus mau rubah pesanan, tapi ditolak sama penjualnya. -pesanan yg kami coba batalkan ditolak sma penjual dan malah dikirim bareng pesanan yg baru. -chat gak direspon, kya gak sampai kepenjual atau chatnya ditolak. dari shopee juga gak ada solusi kecewa banget belanja disini👌🏻",1,Negatif,baru pesen terus mau rubah pesanan tapi ditolak sama penjualnya pesanan yang kami coba batalkan ditolak sma penjual dan malah dikirim bareng pesanan yang baru chat tidak direspon kya tidak sampai kepenjual atau chatnya ditolak dari shopee juga tidak ada solusi kecewa banget belanja disini
com.shopee.id,lebih ditingkatkan lagi,5,Netral,lebih ditingkatkan lagi
com.shopee.id,"shopee biaya admin makin gede tapi pelayanan bukannya makin bagus malah makin parah, makin merugikan seller. nanya dan komplain ke cs juga gak guna, boro-boro masalah selesai, yang ada malah jawaban gak nyambung dengan apa yang dikomplain, kaya gak dibaca komplainan orang cuma copast template doang.",1,Positif,shopee biaya admin makin gede tapi pelayanan bukannya makin bagus malah makin parah makin merugikan seller nanya dan komplain ke cs juga tidak guna boro boro masalah selesai yang ada malah jawaban tidak nyambung dengan apa yang dikomplain kaya tidak dibaca komplainan orang cuma copast template doang
com.shopee.id,bgus apk nya,5,Netral,bgus aplikasi nya
com.shopee.id,"jangan pernah belanja di Shopee, kurir nya gk becus, pelayanan agen cs Shopee nya juga jelek gk nyambung",1,Negatif,jangan pernah belanja di shopee kurir nya gk becus pelayanan agen cs shopee nya juga jelek gk nyambung
com.shopee.id,Berapa kali Pengajuan SPayLater selalu gagal padahal belanja disini jutaan lebih baik cari tempat laen saja dr pada shopee ini,1,Positif,berapa kali pengajuan spaylater selalu gagal padahal belanja disini jutaan lebih baik cari tempat laen saja dari pada shopee ini
com.shopee.id,"sudah bagus sampai saat ini,tapi akhir"" ini kok sering dapat chat dari pihak yg mengatasnamakan shopee meminta update data,setelah sy ikuti ternyata disuruh mencairkan pinjaman di spinjamnya shopee. apakah bentuk upaya penipuan? mohon pihak shopee meningkatkan fitur keamanan utk para penggunanya termasuk saya.terima kasih",5,Positif,sudah bagus sampai saat ini tapi akhir ini kok sering dapat chat dari pihak yang mengatasnamakan shopee meminta update data setelah saya ikuti ternyata disuruh mencairkan pinjaman di spinjamnya shopee apakah bentuk upaya penipuan mohon pihak shopee meningkatkan fitur keamanan utk para penggunanya termasuk saya terima kasih
com.shopee.id,terima kasih banyak diskon dan gratis ongkir,5,Netral,terima kasih banyak diskon dan gratis ongkir
com.shopee.id,"Sebagai pembeli, pembatalan terkait pesanan yang disebabkan penjual tdk mengemas! sangat merugikan sekali!!!! voucher hangus, hilang terutama waktu yang terbuang sia sia!!! dari pihak platform tdk ada kompensasi sama sekali hanya memberikan rasa empati belas kasihan seperti yg selalu CS katakan ""kami merasakan apa yang kakak rasakan dan akan sebagai evaluasi utk kedepannya bla bla bla""!!!! namun terulang kembali dan begitu seterusnya!!!!!!!!!!!!!",1,Netral,sebagai pembeli pembatalan terkait pesanan yang disebabkan penjual tidak mengemas sangat merugikan sekali voucher hangus hilang terutama waktu yang terbuang sia sia dari pihak platform tidak ada kompensasi sama sekali hanya memberikan rasa empati belas kasihan seperti yang selalu cs katakan kami merasakan apa yang kakak rasakan dan akan sebagai evaluasi utk kedepannya bla bla bla namun terulang kembali dan begitu seterusnya
com.shopee.id,"sebenarnya suka banget sama aplikasi ini, tapi kenapa yaa setiap kasih alamat shopee food padahal udah bener kasih titiknya tp kurir selalu dititik ya berbeda",3,Positif,sebenarnya suka banget sama aplikasi ini tapi kenapa yaa setiap kasih alamat shopee food padahal sudah bener kasih titiknya tapi kurir selalu dititik ya berbeda
com.shopee.id,nonton live nglag,1,Netral,nonton live nglag
com.shopee.id,masya Allah sangat puas belanja di shopee... good pkonya,5,Positif,masya allah sangat puas belanja di shopee good pkonya
com.shopee.id,shoppe solusi shopping dirumah tanpa harus keluar mencari,5,Netral,shoppe solusi shopping dirumah tanpa harus keluar mencari
com.shopee.id,kasi bintang 1 apknya lama² GK jelas barang cod estimasi sampenya karang lebih de 3 dr waktu yg di tentukan dan kadang barang blom sampe udh di kembalikan padahal gada info apa² dr pihak shopee dan kurir eh pas cek tiba² barangnya udh di kembalikan kecewa udh capek² nunggu walaupun itu barang sangat butuh,1,Negatif,kasi bintang apknya lama gk jelas barang cod estimasi sampenya karang lebih de dari waktu yang di tentukan dan kadang barang blom sampe udh di kembalikan padahal gada info apa dari pihak shopee dan kurir eh pas cek tiba barangnya udh di kembalikan kecewa udh capek nunggu walaupun itu barang sangat butuh
com.shopee.id,"gabisa ngebatalin orderan Shopee food, tidak ada yang bisa membantu cs.",1,Positif,gabisa ngebatalin orderan shopee food tidak ada yang bisa membantu cs
com.shopee.id,selalu puas berbelanja di shopee 🤗 pengiriman selalu cepat dan harganya juga selalu terjangkau,5,Positif,selalu puas berbelanja di shopee pengiriman selalu cepat dan harganya juga selalu terjangkau
com.shopee.id,pesan barang jasa kirim nya malah muter2 masa harus nunggu 10 hari,1,Netral,pesan barang jasa kirim nya malah muter masa harus nunggu hari
com.shopee.id,sangatt bguss,5,Netral,sangatt bguss
com.shopee.id,sangat puas,5,Positif,sangat puas
com.shopee.id,pengembalian dana sulit,1,Netral,pengembalian dana sulit
com.shopee.id,sangat membantu dlm mencari kebutuhan berbagai jenis produk.,5,Positif,sangat membantu dlm mencari kebutuhan berbagai jenis produk
com.shopee.id,ko aku ga bisa COD ya katanya banyak yang d retur padahal kalo saya pesen ga tau kenapa ga sampe²rumah udah itu suka ada notif kalo barangnya d kembalikan padahal saya ga pernah retur barang,2,Positif,ko aku tidak bisa cod ya katanya banyak yang d retur padahal kalo saya pesen tidak tau kenapa tidak sampe rumah sudah itu suka ada notif kalo barangnya d kembalikan padahal saya tidak pernah retur barang
com.shopee.id,Sangat puas karena mempermudah saya utk membeli barang,5,Positif,sangat puas karena mempermudah saya utk membeli barang
com.shopee.id,aku jadi reseller shopee jadi jutawan,5,Netral,aku jadi reseller shopee jadi jutawan
